Date,Open,High,Low,Close,Adj Close,Volume
2016-06-02,6191.899902,6220.299805,6173.100098,6185.600098,6185.600098,892214700
2016-06-03,6185.600098,6251.700195,6168.200195,6209.600098,6209.600098,640902800
2016-06-06,6209.600098,6301.600098,6209.600098,6273.399902,6273.399902,732583800
2016-06-07,6273.399902,6322.600098,6273.399902,6284.500000,6284.500000,690004500
2016-06-08,6284.500000,6304.500000,6263.799805,6301.500000,6301.500000,643216300
2016-06-09,6301.500000,6301.700195,6229.100098,6231.899902,6231.899902,668485600
2016-06-10,6231.899902,6231.899902,6097.200195,6115.799805,6115.799805,725887400
2016-06-13,6115.799805,6115.799805,6045.000000,6045.000000,6045.000000,827452100
2016-06-14,6045.000000,6045.000000,5921.700195,5923.500000,5923.500000,954027400
2016-06-15,5923.500000,6007.500000,5923.399902,5966.799805,5966.799805,856010000
2016-06-16,5966.799805,5966.799805,5900.000000,5950.500000,5950.500000,791476800
2016-06-17,5950.500000,6046.100098,5950.500000,6021.100098,6021.100098,1274460400
2016-06-20,6021.100098,6236.500000,6021.100098,6204.000000,6204.000000,979119000
2016-06-21,6204.000000,6250.200195,6156.200195,6226.600098,6226.600098,816749300
2016-06-22,6226.600098,6315.600098,6222.000000,6261.200195,6261.200195,858110900
2016-06-23,6261.200195,6380.600098,6261.200195,6338.100098,6338.100098,887921000
2016-06-24,6338.100098,6338.600098,5788.700195,6138.700195,6138.700195,3761301300
2016-06-27,6138.700195,6138.700195,5958.700195,5982.200195,5982.200195,2430429000
2016-06-28,5982.200195,6170.299805,5982.200195,6140.399902,6140.399902,1545515100
2016-06-29,6140.399902,6360.100098,6140.399902,6360.100098,6360.100098,1458617500
2016-06-30,6360.100098,6504.299805,6310.000000,6504.299805,6504.299805,1515147700
2016-07-01,6504.299805,6587.399902,6498.600098,6577.799805,6577.799805,1066211600
2016-07-04,6577.799805,6612.100098,6514.799805,6522.299805,6522.299805,748239600
2016-07-05,6522.299805,6561.600098,6472.299805,6545.399902,6545.399902,1142087300
2016-07-06,6545.399902,6580.299805,6432.500000,6463.600098,6463.600098,1566032200
2016-07-07,6463.600098,6579.299805,6463.600098,6533.799805,6533.799805,1017465800
2016-07-08,6533.799805,6605.799805,6515.200195,6590.600098,6590.600098,909700100
2016-07-11,6590.600098,6695.100098,6590.600098,6682.899902,6682.899902,939285500
2016-07-12,6682.899902,6703.100098,6663.700195,6680.700195,6680.700195,1130427300
2016-07-13,6680.700195,6717.200195,6654.600098,6670.399902,6670.399902,1028320400
2016-07-14,6670.399902,6743.399902,6648.399902,6654.500000,6654.500000,896411400
2016-07-15,6654.500000,6669.200195,6616.500000,6669.200195,6669.200195,814067900
2016-07-18,6669.200195,6715.600098,6653.700195,6695.399902,6695.399902,851731500
2016-07-19,6695.399902,6711.700195,6660.899902,6697.399902,6697.399902,615693000
2016-07-20,6697.399902,6736.600098,6694.399902,6729.000000,6729.000000,744699200
2016-07-21,6729.000000,6732.100098,6694.500000,6699.899902,6699.899902,785375100
2016-07-22,6699.899902,6735.899902,6663.700195,6730.500000,6730.500000,694731500
2016-07-25,6730.500000,6756.100098,6691.000000,6710.100098,6710.100098,661596700
2016-07-26,6710.100098,6744.799805,6708.600098,6724.000000,6724.000000,715629500
